accuracy,precision,recall,specificity,npv,f1,f2,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,predicted_positive_rate,threshold,feature_set,model,n_features,fold,feature_set_label,feature_set_role,use_class_balancing,use_smote,experiment_key,sampling_strategy
0.8156947444204463,0.578125,0.13909774436090225,0.9759572573463936,0.8271698113207547,0.22424242424242424,0.16400709219858156,0.778637377057961,0.43915854104823154,0.13100366990347542,1096,27,229,37,0.04607631389488841,0.5,clinical_core_extreme,XGBoost,8,1,Set B - Clinical Core + Extreme,primary,False,False,XGBoost__clinical_core_extreme__fold_1,no_smote
0.8242074927953891,0.6329113924050633,0.18867924528301888,0.9741763134461264,0.8357524828113063,0.29069767441860467,0.21949078138718173,0.7892605722542382,0.47907136465785677,0.12684537515205146,1094,29,215,50,0.0569164265129683,0.5,clinical_core_extreme,XGBoost,8,2,Set B - Clinical Core + Extreme,primary,False,False,XGBoost__clinical_core_extreme__fold_2,no_smote
0.8119596541786743,0.5352112676056338,0.14285714285714285,0.9705882352941176,0.826879271070615,0.22551928783382788,0.16740088105726872,0.7676276252127645,0.4218407118952998,0.13287508071469323,1089,33,228,38,0.051152737752161385,0.5,clinical_core_extreme,XGBoost,8,3,Set B - Clinical Core + Extreme,primary,False,False,XGBoost__clinical_core_extreme__fold_3,no_smote
0.8054755043227666,0.4696969696969697,0.11654135338345864,0.9688057040998217,0.8222390317700454,0.18674698795180722,0.13716814159292035,0.7507605913178668,0.39397592113476454,0.13695736063018604,1087,35,235,31,0.04755043227665706,0.5,clinical_core_extreme,XGBoost,8,4,Set B - Clinical Core + Extreme,primary,False,False,XGBoost__clinical_core_extreme__fold_4,no_smote
0.8119596541786743,0.5333333333333333,0.15037593984962405,0.9688057040998217,0.8278750952018279,0.23460410557184752,0.17559262510974538,0.7821659764384222,0.44875673989612896,0.12979042190894644,1087,35,226,40,0.05403458213256484,0.5,clinical_core_extreme,XGBoost,8,5,Set B - Clinical Core + Extreme,primary,False,False,XGBoost__clinical_core_extreme__fold_5,no_smote
0.7631389488840893,0.4065281899109792,0.5150375939849624,0.8219056099732859,0.8773764258555133,0.45439469320066334,0.4889364739471806,0.7702080222818845,0.42691430598257474,0.1573411168860786,923,200,129,137,0.24262059035277178,0.5,clinical_core_extreme,XGBoost,8,1,Set B - Clinical Core + Extreme,primary,False,True,XGBoost__clinical_core_extreme__fold_1,smote
0.7478386167146974,0.3960880195599022,0.6113207547169811,0.780053428317008,0.8947906026557712,0.4807121661721068,0.5513955071477196,0.7802449637930744,0.4485371805052789,0.15892186881291123,876,247,103,162,0.2946685878962536,0.5,clinical_core_extreme,XGBoost,8,2,Set B - Clinical Core + Extreme,primary,False,True,XGBoost__clinical_core_extreme__fold_2,smote
0.7492795389048992,0.39540816326530615,0.5827067669172933,0.7887700534759359,0.8885542168674698,0.47112462006079026,0.5322802197802198,0.7668569820272605,0.4218369637835541,0.16104879811010156,885,237,111,155,0.2824207492795389,0.5,clinical_core_extreme,XGBoost,8,3,Set B - Clinical Core + Extreme,primary,False,True,XGBoost__clinical_core_extreme__fold_3,smote
0.7175792507204611,0.34782608695652173,0.5413533834586466,0.7593582887700535,0.8747433264887063,0.4235294117647059,0.4871447902571042,0.7496900674145256,0.388549291164593,0.16841577897679164,852,270,122,144,0.29827089337175794,0.5,clinical_core_extreme,XGBoost,8,4,Set B - Clinical Core + Extreme,primary,False,True,XGBoost__clinical_core_extreme__fold_4,smote
0.7435158501440923,0.3907766990291262,0.6052631578947368,0.7762923351158645,0.8924180327868853,0.4749262536873156,0.5453929539295393,0.7714071274442792,0.42965435980013217,0.16069806268471926,871,251,105,161,0.2968299711815562,0.5,clinical_core_extreme,XGBoost,8,5,Set B - Clinical Core + Extreme,primary,False,True,XGBoost__clinical_core_extreme__fold_5,smote
