accuracy,precision,recall,specificity,npv,f1,f2,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,predicted_positive_rate,threshold,feature_set,model,n_features,fold,feature_set_label,feature_set_role,use_class_balancing,use_smote,experiment_key,weighting_mode
0.8156947444204463,0.578125,0.13909774436090225,0.9759572573463936,0.8271698113207547,0.22424242424242424,0.16400709219858156,0.778637377057961,0.43915854104823154,0.13100366990347542,1096,27,229,37,0.04607631389488841,0.5,clinical_core_extreme,XGBoost,8,1,Set B - Clinical Core + Extreme,primary,False,False,XGBoost__clinical_core_extreme__fold_1,unweighted
0.8242074927953891,0.6329113924050633,0.18867924528301888,0.9741763134461264,0.8357524828113063,0.29069767441860467,0.21949078138718173,0.7892605722542382,0.47907136465785677,0.12684537515205146,1094,29,215,50,0.0569164265129683,0.5,clinical_core_extreme,XGBoost,8,2,Set B - Clinical Core + Extreme,primary,False,False,XGBoost__clinical_core_extreme__fold_2,unweighted
0.8119596541786743,0.5352112676056338,0.14285714285714285,0.9705882352941176,0.826879271070615,0.22551928783382788,0.16740088105726872,0.7676276252127645,0.4218407118952998,0.13287508071469323,1089,33,228,38,0.051152737752161385,0.5,clinical_core_extreme,XGBoost,8,3,Set B - Clinical Core + Extreme,primary,False,False,XGBoost__clinical_core_extreme__fold_3,unweighted
0.8054755043227666,0.4696969696969697,0.11654135338345864,0.9688057040998217,0.8222390317700454,0.18674698795180722,0.13716814159292035,0.7507605913178668,0.39397592113476454,0.13695736063018604,1087,35,235,31,0.04755043227665706,0.5,clinical_core_extreme,XGBoost,8,4,Set B - Clinical Core + Extreme,primary,False,False,XGBoost__clinical_core_extreme__fold_4,unweighted
0.8119596541786743,0.5333333333333333,0.15037593984962405,0.9688057040998217,0.8278750952018279,0.23460410557184752,0.17559262510974538,0.7821659764384222,0.44875673989612896,0.12979042190894644,1087,35,226,40,0.05403458213256484,0.5,clinical_core_extreme,XGBoost,8,5,Set B - Clinical Core + Extreme,primary,False,False,XGBoost__clinical_core_extreme__fold_5,unweighted
0.6940244780417567,0.3525046382189239,0.7142857142857143,0.6892252894033838,0.9105882352941177,0.4720496894409938,0.5926388022457891,0.7799864755388026,0.44988155108774297,0.18479045263423105,774,349,76,190,0.3880489560835133,0.5,clinical_core_extreme,XGBoost,8,1,Set B - Clinical Core + Extreme,primary,True,False,XGBoost__clinical_core_extreme__fold_1,weighted
0.6923631123919308,0.35587188612099646,0.7547169811320755,0.6776491540516474,0.9213075060532687,0.4836759371221282,0.6165228113440198,0.7894101043364303,0.482119694727865,0.18648210795652045,761,362,65,200,0.4048991354466859,0.5,clinical_core_extreme,XGBoost,8,2,Set B - Clinical Core + Extreme,primary,True,False,XGBoost__clinical_core_extreme__fold_2,weighted
0.6772334293948127,0.34146341463414637,0.7368421052631579,0.6631016042780749,0.914004914004914,0.4666666666666667,0.5982905982905983,0.7675204052913032,0.42324320786987285,0.19246251329860256,744,378,70,196,0.41354466858789624,0.5,clinical_core_extreme,XGBoost,8,3,Set B - Clinical Core + Extreme,primary,True,False,XGBoost__clinical_core_extreme__fold_3,weighted
0.659942363112392,0.3192982456140351,0.6842105263157895,0.6541889483065954,0.8973105134474327,0.4354066985645933,0.5569155446756426,0.7512229772291693,0.3982380413422128,0.19704102958196798,734,388,84,182,0.4106628242074928,0.5,clinical_core_extreme,XGBoost,8,4,Set B - Clinical Core + Extreme,primary,True,False,XGBoost__clinical_core_extreme__fold_4,weighted
0.6750720461095101,0.33511586452762926,0.706766917293233,0.6675579322638147,0.905683192261185,0.4546553808948005,0.5784615384615385,0.7820202243576856,0.4432189055955138,0.18747590430227548,749,373,78,188,0.404178674351585,0.5,clinical_core_extreme,XGBoost,8,5,Set B - Clinical Core + Extreme,primary,True,False,XGBoost__clinical_core_extreme__fold_5,weighted
