threshold,error_type,feature,mean,median,missing_rate
0.35,FN,Age,47.18055555555556,46.0,0.0
0.35,FN,BMI_Max,29.401541666666667,27.813,0.0
0.35,FN,BMI_Mean,28.543334435323857,27.419833333333333,0.0
0.35,FN,SystolicBP_Max,132.46478873239437,132.0,0.013888888888888888
0.35,FN,SystolicBP_Mean,123.28072031337413,123.61111111111111,0.013888888888888888
0.35,FN,DiastolicBP_Max,84.33802816901408,85.0,0.013888888888888888
0.35,FN,DiastolicBP_Mean,78.0185599056244,79.33333333333333,0.013888888888888888
0.35,FP,Age,64.86672117743254,64.0,0.0
0.35,FP,BMI_Max,31.292778413736713,30.463,0.0
0.35,FP,BMI_Mean,29.96476990321262,29.430043478260867,0.0
0.35,FP,SystolicBP_Max,142.1941031941032,140.0,0.001635322976287817
0.35,FP,SystolicBP_Mean,129.95939235514666,129.125,0.001635322976287817
0.35,FP,DiastolicBP_Max,84.71007371007371,84.0,0.001635322976287817
0.35,FP,DiastolicBP_Mean,77.27986998854702,77.33333333333333,0.001635322976287817
0.35,TN,Age,39.68274111675127,39.0,0.0
0.35,TN,BMI_Max,27.33557191201354,26.603,0.0
0.35,TN,BMI_Mean,26.28444986979974,25.619833333333332,0.0
0.35,TN,SystolicBP_Max,128.0771186440678,127.0,0.001692047377326565
0.35,TN,SystolicBP_Mean,119.71446331643226,119.91666666666666,0.001692047377326565
0.35,TN,DiastolicBP_Max,82.37203389830509,81.0,0.001692047377326565
0.35,TN,DiastolicBP_Mean,76.15144709637289,76.0,0.001692047377326565
0.35,TP,Age,65.54016064257029,65.0,0.0
0.35,TP,BMI_Max,33.656915662650604,32.592,0.0
0.35,TP,BMI_Mean,31.857201100749847,31.076999999999998,0.0
0.35,TP,SystolicBP_Max,147.09839357429718,144.0,0.0
0.35,TP,SystolicBP_Mean,131.60134290090164,130.25833333333333,0.0
0.35,TP,DiastolicBP_Max,85.60642570281125,85.5,0.0
0.35,TP,DiastolicBP_Mean,76.44763686833106,76.25,0.0
0.5,FN,Age,52.0,51.0,0.0
0.5,FN,BMI_Max,30.46562025316456,28.6875,0.0
0.5,FN,BMI_Mean,29.184223294575105,27.570166666666665,0.0
0.5,FN,SystolicBP_Max,136.15286624203821,134.0,0.006329113924050633
0.5,FN,SystolicBP_Mean,125.32626049643116,125.33333333333331,0.006329113924050633
0.5,FN,DiastolicBP_Max,86.31210191082802,86.0,0.006329113924050633
0.5,FN,DiastolicBP_Mean,78.7282306063707,79.46153846153847,0.006329113924050633
0.5,FP,Age,67.3609022556391,67.0,0.0
0.5,FP,BMI_Max,32.61091478696741,31.9095,0.0
0.5,FP,BMI_Mean,31.109558974663827,30.660249999999998,0.0
0.5,FP,SystolicBP_Max,144.7904642409034,142.0,0.0012531328320802004
0.5,FP,SystolicBP_Mean,131.524461476661,130.66666666666666,0.0012531328320802004
0.5,FP,DiastolicBP_Max,84.465495608532,84.0,0.0012531328320802004
0.5,FP,DiastolicBP_Mean,76.60907382701002,76.5,0.0012531328320802004
0.5,TN,Age,45.1045426260112,44.0,0.0
0.5,TN,BMI_Max,27.727569383945244,26.952,0.0
0.5,TN,BMI_Mean,26.689300109490098,26.032,0.0
0.5,TN,SystolicBP_Max,130.51870324189525,130.0,0.001866832607342875
0.5,TN,SystolicBP_Mean,121.64494325568909,121.33333333333331,0.001866832607342875
0.5,TN,DiastolicBP_Max,83.11159600997506,82.0,0.001866832607342875
0.5,TN,DiastolicBP_Mean,76.78304051721254,76.66666666666667,0.001866832607342875
0.5,TP,Age,67.52427184466019,67.0,0.0
0.5,TP,BMI_Max,34.13710436893204,33.166,0.0
0.5,TP,BMI_Mean,32.30315278391717,31.343803571428573,0.0
0.5,TP,SystolicBP_Max,148.74757281553397,146.0,0.0
0.5,TP,SystolicBP_Mean,132.5586820605798,131.0,0.0
0.5,TP,DiastolicBP_Max,85.11893203883496,84.0,0.0
0.5,TP,DiastolicBP_Mean,75.84929298186407,75.1547619047619,0.0
0.6,FN,Age,56.58102766798419,55.0,0.0
0.6,FN,BMI_Max,30.69890118577075,29.399,0.0
0.6,FN,BMI_Mean,29.388300814898614,28.54975,0.0
0.6,FN,SystolicBP_Max,137.5515873015873,135.0,0.003952569169960474
0.6,FN,SystolicBP_Mean,126.2163417368582,125.46428571428572,0.003952569169960474
0.6,FN,DiastolicBP_Max,85.34126984126983,86.0,0.003952569169960474
0.6,FN,DiastolicBP_Mean,77.88950170572275,78.61904761904762,0.003952569169960474
0.6,FP,Age,68.647859922179,68.0,0.0
0.6,FP,BMI_Max,33.79580155642023,33.3195,0.0
0.6,FP,BMI_Mean,32.04018264397287,31.751305555555554,0.0
0.6,FP,SystolicBP_Max,148.6588693957115,148.0,0.0019455252918287938
0.6,FP,SystolicBP_Mean,133.7947942666425,133.0,0.0019455252918287938
0.6,FP,DiastolicBP_Max,84.67446393762184,84.0,0.0019455252918287938
0.6,FP,DiastolicBP_Mean,76.14207705687639,75.71428571428571,0.0019455252918287938
0.6,TN,Age,48.09730301427816,47.0,0.0
0.6,TN,BMI_Max,28.13890639873083,27.366,0.0
0.6,TN,BMI_Mean,27.100200665642664,26.518,0.0
0.6,TN,SystolicBP_Max,131.614406779661,130.0,0.0015864621893178213
0.6,TN,SystolicBP_Mean,122.51417125012529,122.33333333333331,0.0015864621893178213
0.6,TN,DiastolicBP_Max,83.25847457627118,82.0,0.0015864621893178213
0.6,TN,DiastolicBP_Mean,76.88376234086776,76.97619047619048,0.0015864621893178213
0.6,TP,Age,68.5205047318612,68.0,0.0
0.6,TP,BMI_Max,35.05120820189274,34.306,0.0
0.6,TP,BMI_Mean,33.074971991632154,32.632294117647064,0.0
0.6,TP,SystolicBP_Max,151.41009463722398,150.0,0.0
0.6,TP,SystolicBP_Mean,134.0185545400956,132.8,0.0
0.6,TP,DiastolicBP_Max,85.53312302839117,85.0,0.0
0.6,TP,DiastolicBP_Mean,75.6532696652557,74.88888888888889,0.0
